kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq
10464078,FALSE POSITIVE,19.40393776,172.484253,12.2155,8918.7,7.18,523.0
9579641,CONFIRMED,5.412203927,133.143089,2.9472,601.6,2.94,1093.0
10480982,FALSE POSITIVE,19.221388942,184.5521637,4.79843,74284.0,49.29,698.0
10480982,FALSE POSITIVE,2.03746414,131.54567,2.895,138.8,1.12,1474.0
10485250,FALSE POSITIVE,16.46983774,180.881761,9.4378,10478.9,7.94,595.0
10526549,CONFIRMED,9.27358173,173.258155,3.2875,1288.3,2.47,649.0
10583066,CONFIRMED,6.02930329,171.602959,1.5821,1912.7,2.85,678.0
9579641,CONFIRMED,7.12594387,139.00492,3.0014,192.4,1.79,997.0
11152159,FALSE POSITIVE,2.701287801,170.69579,3.3827,860.4,6.54,1222.0
11153539,CONFIRMED,4.49876511,171.34905,3.7362,460.0,2.1,1133.0
8395660,CONFIRMED,13.57078281,136.279194,3.3539,511.7,2.64,785.0
11242721,FALSE POSITIVE,19.651209505,179.401981,5.2514,11766.3,12.42,730.0
11304958,CONFIRMED,41.43958662,208.93203,10.5989,2793.1,5.5,516.0
11391957,CONFIRMED,8.35389523,171.63257,2.2514,1041.6,2.52,790.0
11403044,CONFIRMED,4.125543472,169.752585,3.1744,1487.3,4.43,1243.0
5792202,CONFIRMED,15.33528675,174.00278,3.897,3081.4,5.0,610.0
5792202,CONFIRMED,31.33046135,153.43031,5.176,5073.8,6.5,481.0
9471974,CONFIRMED,190.3200468,312.68498,15.284,1141.7,7.78,426.0
5792202,CONFIRMED,6.54626149,133.85964,2.75,655.9,2.19,810.0
5792202,FALSE POSITIVE,269.306232,285.6272,14.931,1708.0,24.0,235.0
5792202,FALSE POSITIVE,499.47338,455.5672,12.248,1662.0,3.71,191.0
5794379,CONFIRMED,12.71809866,175.35526,3.0957,1149.4,2.31,562.0
8226994,CONFIRMED,4.14810719,133.3881,2.535,175.2,1.08,938.0
8247638,CONFIRMED,16.51410989,176.11686,4.1575,973.5,2.72,655.0
5897826,CANDIDATE,0.875197345,131.8135915,0.052,0.0,0.73,2518.0
8247638,CONFIRMED,30.1329298,190.38336,5.172,1015.8,3.14,536.0
8247638,CONFIRMED,4.79090809,136.31106,2.603,251.3,1.36,990.0
8247638,CONFIRMED,99.6415962,198.68664,4.448,952.5,2.64,360.0
8255887,CONFIRMED,4.708326451,171.446507,3.16114,7912.7,10.6,1162.0
3632418,CONFIRMED,2.785821236,260.83731,3.5599,68.9,1.69,1784.0
3441784,FALSE POSITIVE,52.56901867,184.971267,6.7507,26900.0,78.54,737.0
11192141,CANDIDATE,1.353771892,261.43662,7.012,1349.1,430.99,4903.0
11494130,FALSE POSITIVE,18.95491633,262.46677,24.249,867.5,71.39,1139.0
7601633,FALSE POSITIVE,15.663886949,147.395712,2.4775,5144.4,27.36,1060.0
5648449,FALSE POSITIVE,4.348866254,262.72768,3.2797,625.6,2436.69,6421.0
12167361,FALSE POSITIVE,47.93094546,179.096467,2.6897,2144.4,68.02,905.0
7626506,CONFIRMED,8.408878137,134.006366,3.4967,798.9,2.28,809.0
8386035,FALSE POSITIVE,1.63484631,134.512115,6.11,,,
8332986,FALSE POSITIVE,302.38867822,309.18675,3.1229,41320.0,40.73,238.0
8415745,FALSE POSITIVE,31.82814583,366.704854,2.917,4456.8,35.8,564.0
8378634,FALSE POSITIVE,3.629442796,134.70066,5.63,426.6,3.28,1434.0
8397675,CANDIDATE,0.553261874,133.446605,0.8875,1038.1,97.36,3689.0
8346392,CONFIRMED,5.72812616,135.18066,2.0295,643.4,1.38,569.0
6620003,FALSE POSITIVE,1.714274727,133.3158074,2.06728,28460.1,25.0,827.0
6621116,FALSE POSITIVE,137.75960504,173.16476,9.1713,83298.0,49.52,396.0
6629332,FALSE POSITIVE,2.155278342,133.576109,2.1064,20739.0,16.89,1272.0
